compound_id,smiles,latent
0,CC1C2CCC(C2)C1CN(CCO)C(=O)c1ccc(Cl)cc1,
1,COc1ccc(-c2cc(=O)c3c(O)c(OC)c(OC)cc3o2)cc1O,
2,CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2,
3,Clc1ccccc1-c1nc(-c2ccncc2)no1,
4,CC(C)(Oc1ccc(Cl)cc1)C(=O)OCc1cccc(CO)n1,
5,Cc1nc2c(OCc3ccccc3)cccn2c1CC#N,
6,O=C1c2cccnc2CN1Cc1ccccc1Cl,
7,O=C(NC1CCc2ccccc2C1)c1ccncc1,
8,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,
9,Cc1[nH]cnc1Cc1nc(-c2ccccc2)cs1,
10,COc1ccc(-c2nc3n(c2-c2ccncc2)CCC3)cc1,
11,CC(=O)NC(C(=O)NCc1ccccc1)c1ccco1,
12,COc1ccc(C2CNC(=O)C2)cc1OC1CCCC1,
13,CCCn1c(=O)c2[nH]c(C3CCC(=O)C3)nc2n(CCC)c1=O,
14,C=C1C(CO)C(O)CC1n1cnc2c(=O)[nH]c(N)nc21,
15,COc1cc(CNc2ccc(C)cc2)cc(OC)c1OC,
16,O=C(NCCc1cccc2ccccc12)C1CCC1,
17,O=C1c2ccccc2-c2c3c(cc4ccnc1c24)OCO3,
18,O=C(CN1C(=O)c2ccccc2S1(=O)=O)Nc1ccc(O)cc1,
19,Cc1ccc(Sc2cncc3sc(C(N)=O)cc23)cc1,
20,Cc1ccc2nc(N)[nH]c(=O)c2c1Sc1ccncc1,
21,COc1cc2ncc(NC3CCC(O)CC3)nc2cc1OC,
22,Nc1cnc(-c2cc(Cl)cc(Cl)c2Cl)c(N)n1,
23,CCN1c2ncccc2NC(=O)c2cc(Br)cnc21,
24,CC(C(=O)NC1CC1)S(=O)(=O)c1ccccc1Br,
25,Nc1nnc(-c2ccc(N)c(Cl)c2Cl)c(N)n1,
26,Cc1cc(NC(=O)Nc2ccc3c(ccn3C)c2)on1,
27,NS(=O)(=O)c1cc(C2(O)NC(=O)c3ccccc32)ccc1Cl,
28,c1ccc2[nH]c(CSc3ncnc4ccccc34)nc2c1,
29,CN(C)c1ncnc2c1ncn2C1OC(CO)C(O)C1O,
30,CNC(=O)OCc1c2ccncc2c(C)c2c1[nH]c1ccccc12,
31,COc1ccc(-c2cc(C(F)(F)F)n3nc(C(N)=O)cc3n2)cc1,
32,Cc1cc(C)n(-c2nc(N3CCOCC3)nc(N3CCOCC3)n2)n1,
33,Cc1ccc(S(=O)(=O)NCc2ccccc2)cc1,
34,CC(=O)Nc1ccc(S(=O)(=O)NC2CCCCC2)cc1,
35,O=C(Nc1nnc(C2CC2)s1)c1csc2ccccc12,
36,CCN(CC)C(=O)c1ccc(NC(C)=O)c(Cl)c1,
37,Cc1ccccc1C(=O)Nc1ccccc1C(=O)N1CCCC1,
38,Fc1ccccc1CSc1nnnn1-c1ccc2c(c1)OCO2,
39,CS(=O)(=O)N(Cc1ccccc1)Cc1ccccc1,
40,CC1CCCN(C(=O)c2ccc(Br)cc2)C1,
41,COc1ccc(CNC(=O)c2ccccc2Cl)cc1,
42,CCOC(=O)c1ccc(NC(=O)Cc2ccccc2)cc1,
43,O=S(=O)(c1ccccc1)N(Cc1ccccc1)c1ccccn1,
44,CCOC(=O)C1CCN(C(=O)c2ccccc2Br)CC1,
45,COC(=O)c1ccc(NC(=O)Cc2ccc(OC)cc2)cc1,
46,COC(=O)c1ccc(NC(=O)c2c(OC)cccc2OC)cc1,
47,Cc1cc(Br)ccc1NC(=O)c1cccnc1,
48,CC(=O)Nc1cccc(NS(=O)(=O)c2ccc(F)cc2)c1,
49,Cc1cccc(=NS(=O)(=O)c2cc(Cl)ccc2Cl)[nH]1,
50,CC(=O)Nc1ccc(S(=O)(=O)NCc2ccc(C)cc2)cc1,
51,Cc1cc(Br)ccc1NC(=O)C(C)C,
52,CCNC(=O)c1c(-c2ccccc2Cl)noc1C,
53,CN(Cc1ccccc1)S(=O)(=O)c1ccc(Br)cc1,
54,COc1ccc(C(=O)Nc2ccccc2C(C)C)cc1OC,
55,O=C(c1ccco1)N1CCN(c2cccc(Cl)c2)CC1,
56,COc1cccc(C(=O)Nc2nc3ccccc3s2)c1,
57,CCOc1ccccc1NC(=O)c1ccc(N(C)C)cc1,
58,CC(=O)Nc1ccc(C(=O)NC(C)c2ccccc2)cc1,
59,CC(=O)Nc1ccc(C(=O)NCc2cccnc2)cc1,
60,CC(=O)Nc1ccc(C(=O)N2CCc3ccccc32)cc1,
61,CC(=O)Nc1ccc(C(=O)Nc2cccnc2)cc1,
62,CC(=O)Oc1ccccc1C(=O)n1cnc2ccccc21,
63,CC(=O)Oc1ccccc1C(=O)Nc1ccc(S(N)(=O)=O)cc1,
64,NC(=O)c1ccccc1NC(=O)c1cc(Cl)ccc1Cl,
65,NC(=O)c1ccccc1NC(=O)CC(c1ccccc1)c1ccccc1,
66,NS(=O)(=O)c1ccc(CNC(=O)N2CCOCC2)cc1,
67,CCCC(C)NS(=O)(=O)c1ccc(Cl)cc1,
68,CCC(C(=O)NCc1ccccn1)c1ccccc1,
69,O=C(Cc1cccs1)Nc1ccc(Cl)cc1,
70,CC(Oc1ccccc1)C(=O)Nc1ccccc1F,
