compound_id,smiles,latent,cost,parent1_id,parent2_id
376.0,COC(=O)C1=C(C)Nc2nnnn2C1c1cccc(OC)c1OC,"[-0.4846851   0.91679513 -0.72066045  0.3887796  -0.17941432  0.23006713
  0.09944092  2.0970879  -0.5450176   0.35896337 -0.52665156  0.28422278
  0.78863573 -1.6761465  -0.12180734 -1.6233546   0.7081425  -0.5526646
 -0.3732105  -2.4805994   1.7641346   0.17318264 -0.10808349 -1.1582303
  0.09557855  0.33037806  0.07968652  2.3018389  -0.8543831   2.096274
  2.4521573   1.6701398  -0.9595056   0.0514003  -0.8371198   0.8337603
  0.0925359   1.0459049   2.5856805   3.4164033   0.27669394  0.3847471
  0.5079257   0.89389193  0.6834767   0.85419005  1.2854657  -0.1345382
 -0.36337134 -2.2744608  -1.1136861   1.5097489  -0.6516944  -0.797639
 -1.5020936  -0.43797895  0.08195293  0.870734    0.09272206  1.2573329
  0.68028486  1.0367225   0.54090333  0.98447603  0.6458583   0.15628545
  0.17663461  0.32321456 -0.20724273  1.8311689   0.22119497 -0.11468324
 -0.18267481  0.12222925  1.7406557   0.395494    0.2860156  -0.28382614
 -0.4233824   0.03494528  1.2340846  -0.12024245  0.33041266 -0.09366736
  0.87482435  0.9461907   1.7194825  -0.28260368  0.2554974  -0.13086663
 -1.682312    0.5591023   0.41049618 -0.11030556 -0.26151767  0.22532718
  0.75438917  0.33376682 -1.0238372  -0.01908262 -0.21905752  0.2427385
 -0.04164508 -0.09359723 -0.06173833  0.18965304 -0.17562108  0.15520383
 -0.873297    0.15746355 -0.18686792 -0.1129238   0.27690345  0.30785885
 -0.17170213  0.34285927  0.51260257  1.5940961   0.37264878  0.07415211
  1.3197063  -0.01368967 -0.22927839  0.48849198 -0.05459043 -0.14301652
  0.6509476  -0.07707023]",-3.218088324710809,,
422.0,CC(C)(C)N1C(=O)NC2C1NC(=O)N2C(C)(C)C,"[-0.7855216   0.27154928 -0.5038816  -1.6352489  -0.55012333 -2.1396224
 -0.25495398 -0.832999    0.46495122 -0.8874324  -0.44127294  1.9107568
 -2.627141   -0.0309867   0.45059156  0.44349614 -1.238224    0.28357002
 -0.07912019 -0.61423635  0.04754782 -0.51733357 -0.572301   -2.3137035
 -0.01605433  0.01699746 -2.2691658  -1.8440747   0.49939638 -0.63295805
  1.35081     2.2395008  -0.7618925  -0.43933505 -0.18900782  2.7851272
 -0.7688455   0.14986487  0.9486569  -0.04712576  0.535561   -1.0628768
 -0.4271196   0.98723274  2.694079    1.0580269  -0.016792   -0.73162293
 -1.5023125  -0.26684046  1.9912665   0.86786544 -3.123061   -0.3366664
 -2.5367131  -0.3702823   1.354393    1.0168351   1.4823983   0.95661294
  1.5219299   2.148458    0.00726733  0.58688015 -0.09791269 -0.06831311
  0.05413065  2.3940437   0.9652735  -0.9867555   0.30469406 -0.34392312
  0.985607   -0.23727667  0.951781    1.013663    0.5273266  -0.452946
 -0.6996605  -1.4739245   0.76227975  0.26617956  0.30395016  0.19289613
  1.2524481   1.1953175   0.86767757 -0.09683943 -0.5903872  -0.80585635
 -1.4680343   1.116394    1.0021424  -0.35111976 -0.44895416 -0.19108652
  0.38483152  0.7697411   1.5564721   0.30593947 -0.15192242  0.15488018
 -0.04129943  0.0370142   0.15413707  1.0727186  -0.35226965 -0.4308902
 -1.2571349   0.37191188 -1.0724359  -0.04373515 -0.57361233  0.60501975
 -0.05200312  0.77257323  0.10149986  0.4134449  -0.20379925 -0.18204975
  1.0071453   0.08979534 -0.33735117 -0.40351477 -0.11247274  0.515442
  0.8109449   0.34643927]",-4.813595881719866,,
389.0,COC(=O)C1=C(C)NC(=O)NC1c1ccc(OCC(N)=O)cc1,"[-0.90911627  0.66899997 -0.80562305 -0.10346514 -0.02030802 -0.43057686
 -0.80470324  3.444838   -0.17904323  0.83542573 -0.60257834  0.33537894
  0.8991851  -1.679251   -0.16427767 -0.19186348  0.38630396  0.27261055
 -1.1071427  -1.6537377   0.7616464   0.30273706  0.48873508 -1.2453763
 -0.29299015  1.6277905  -0.13338771  0.8554772   0.66787887 -0.07143104
  1.0105841   1.0983341   0.00933754  0.01262693 -1.5751153   0.74653536
  1.2178553   0.75343394  0.23220468  1.6988454  -1.0065202  -0.38919938
  1.3613598   1.8073334   0.19898331  0.14843927  2.7644522  -0.7759665
 -1.0293372  -1.8349979  -1.4253069   0.38223976  0.02144408  0.96717834
 -0.39843413 -1.0139233  -0.11647552  1.7890778   1.3205923   0.8782288
 -0.20595229  0.48417544 -0.28683686 -0.3177931  -0.31543124 -0.06701788
 -0.0109884   0.11111474  0.31103408 -0.15359437  0.08206743 -0.0336665
 -0.1706585  -0.13054594  0.6972038   0.39385536  0.04905099 -0.16201037
 -0.21643513 -0.1937322   1.9503999   0.0542002   0.03819976 -0.01509517
  0.746881    0.01857638 -0.6689683  -0.03467356 -0.02779508  0.39644623
 -0.5950319   0.48336673  0.48793143  0.00693396  0.38598382 -0.19243458
  0.30069897 -0.08956936 -0.56874084  0.06517915 -0.43447596 -0.02671216
  0.03804677 -0.10432047 -0.08057942  0.01883167 -0.53087246  0.8456974
 -0.345892   -0.10266908  0.0647666   0.07410416 -0.590614    0.27474496
  0.0493019   0.728222    0.17761324  0.73165756 -0.31333768  1.1869646
 -0.03639398  0.063595   -0.27696732 -0.05853257 -0.07802681 -0.8299888
 -0.8839419   0.02904571]",-3.032057595560914,,
342.0,Cn1c(=O)c2c(nc(N3CCCC3)n2CC(O)CO)n(C)c1=O,"[-1.68034506e+00  8.07151675e-01  1.43213892e+00 -7.50450015e-01
 -2.75238842e-01 -4.18214500e-01  1.21726704e+00  3.24964881e+00
 -5.76794147e-01  1.16822338e+00  2.10639000e-01  1.79608405e-01
 -9.23336864e-01 -1.23097491e+00 -6.50234044e-01 -7.20704436e-01
  1.31681573e+00 -7.53915429e-01 -8.62738788e-02 -1.28798914e+00
 -1.19427800e+00  1.29180598e+00 -9.89544392e-03 -1.06481040e+00
 -6.62378311e-01  1.48137736e+00  8.21685195e-01 -2.66605616e-03
 -1.23537190e-01 -1.05504930e+00 -1.03693044e+00  1.23447633e+00
  1.01552916e+00 -4.37238634e-01 -7.39040613e-01 -6.43601418e-02
  2.77635431e+00  1.49131942e+00  3.23730493e+00 -3.79412919e-01
 -1.73344350e+00 -3.60048831e-01 -2.36615753e+00 -2.03587204e-01
  1.68995214e+00 -2.77834225e+00 -7.20873594e-01  3.58977228e-01
  8.71528089e-02 -2.09771693e-01  1.21325743e+00  1.58345211e+00
  5.71411610e-01  9.65438783e-01 -1.22550392e+00 -9.87088442e-01
 -1.59460855e+00  8.11443925e-01  1.38295114e-01  1.09772122e+00
  1.16294217e+00  1.14578867e+00 -1.43097150e+00  1.03569353e+00
  1.08695519e+00  8.27965066e-02  6.32184893e-02 -3.28025669e-01
  1.18679643e-01 -6.66244745e-01  2.34843493e-02  1.38359502e-01
  2.12388873e-01  2.27056146e-01 -1.96933880e-01  1.42444074e-01
 -3.69515151e-01  1.66632473e-01 -3.36153269e-01 -6.93216383e-01
  1.37493062e+00  6.20281994e-02 -2.77652666e-02 -8.66726786e-02
 -6.14033520e-01  1.11509375e-01  2.58927166e-01 -1.68241814e-01
  3.40630114e-03  3.40210676e-01 -2.97020972e-01  2.18532920e-01
 -3.43149602e-02 -1.45759881e-01  4.53841686e-02  1.37131214e-02
 -2.02266008e-01  3.39044929e-01  4.65001047e-01  1.81069702e-01
  1.56854093e-02 -1.03378609e-01  2.77769193e-03 -7.77896196e-02
 -1.83635652e-02  3.94613236e-01  3.31457734e-01 -3.01628947e-01
 -1.95098728e-01  1.38307987e-02  2.00830281e-01  5.76834194e-02
  8.26661944e-01  2.38626063e-01  6.33277372e-02 -4.15737987e-01
  4.75837141e-01  6.30589962e-01  3.66944045e-01 -5.69880486e-01
  2.18697757e-01  1.45174205e-01 -9.15911123e-02 -2.67097145e-01
  7.61453211e-02  5.63128829e-01 -1.51405543e-01  1.82601362e-01]",-5.6766232187081895,,
14.0,C=C1C(CO)C(O)CC1n1cnc2c(=O)[nH]c(N)nc21,"[-6.05822563e-01 -6.84394062e-01  8.55886340e-01  1.18206358e+00
  9.10905540e-01 -7.63691187e-01 -8.97306651e-02  1.15963995e-01
 -1.50143623e+00 -1.92671561e+00 -2.32731056e+00  1.61638737e+00
 -2.74922276e+00 -3.37326527e-02  9.15079832e-01 -5.49878418e-01
 -1.58015788e+00 -1.56147933e+00  9.02207017e-01 -2.19476366e+00
 -1.98802918e-01  3.02662700e-02 -1.41802180e+00  1.17289412e+00
 -7.21018493e-01  6.40766799e-01  8.80651236e-01  2.72172630e-01
  7.55916953e-01 -3.46646547e-01  1.48629546e+00 -9.74397063e-01
  2.06317759e+00  1.63061547e+00 -1.32795894e+00 -3.80838871e-01
  3.00030172e-01  1.65329838e+00  9.84664559e-01  3.27392399e-01
 -1.49025047e+00 -3.43705207e-01 -2.45019865e+00 -1.00056398e+00
  1.73191726e-01 -4.60900158e-01 -2.31309557e+00  1.11387801e+00
  3.96866083e-01  1.23331368e-01 -9.14290667e-01 -3.74017864e-01
 -3.49105024e+00 -1.81269139e-01 -6.57782197e-01 -2.28387967e-01
 -1.03085721e+00 -1.78590548e+00 -4.68509197e-01 -7.71327198e-01
  6.04645431e-01  8.32335353e-01  8.22971463e-01 -2.84134120e-01
  3.23504925e-01 -1.64422452e-01 -1.82378247e-01 -1.44678950e-01
 -6.86912894e-01  3.12463552e-01  3.08192730e-01 -1.73691511e-01
  3.85659456e-01  2.93549746e-01  3.86353582e-03 -2.01320529e-01
  3.10853451e-01 -2.19661802e-01  8.62078667e-02  1.39067554e+00
  1.76056194e+00  5.85921109e-02  1.02738217e-01  1.59225136e-01
  1.59749269e+00  3.34948450e-01 -5.38273335e-01 -1.23408243e-01
  2.85885036e-01  3.66473287e-01  2.20349431e-03 -6.94072992e-02
 -1.27456695e-01  1.67448491e-01  4.56568629e-01 -7.79715538e-01
  5.66824675e-01 -1.10694146e+00 -5.90471923e-03  3.94490898e-01
 -3.81326079e-01 -1.13345906e-01  1.68463871e-01  4.57561649e-02
 -6.56829551e-02 -5.00244617e-01  9.77731943e-02  1.23443723e+00
 -3.04208308e-01 -2.40564346e-01 -5.52102149e-01  9.75369364e-02
  2.65662611e-01 -4.50128406e-01 -9.74773392e-02  2.18106955e-01
 -3.80535722e-01  1.28925264e-01 -1.28942001e+00 -1.35281742e-01
 -3.03932965e-01 -2.08257467e-01 -8.54014754e-02  7.98441023e-02
 -2.31057733e-01  3.96899045e-01  1.54024124e+00  4.62953001e-02]",-7.074240448142859,,
145.0,CSc1c(C(N)=O)c(C(N)=O)c2nc(C)cc(C)n12,"[ 0.9169604  -1.3627102   0.39208123  0.3300714   0.09996516  0.06081229
 -0.31967652  0.71550614  0.957696   -0.983495   -0.6018938  -0.05234259
 -2.1616426  -0.9536603   0.6493958   1.200596   -0.7220624   0.10419919
  0.8219692  -2.1703546  -0.66062045 -1.5838026   0.00567704 -1.916326
 -0.3183518   2.0294611   2.3681746  -2.8537235   1.1844367  -0.03887701
 -0.13542767  0.79006046 -2.2532864   0.2994159  -1.195054    0.6674598
  1.6971041   0.76570654  1.4612331   2.0630288  -0.41100952 -2.0460045
 -2.319291    0.06856322 -1.0061803  -0.55045986 -2.5893435  -3.078493
 -0.1528089  -2.3763843   0.54517657  0.34532362 -0.22150707  0.76425004
  0.3586375  -1.4854213  -1.8318388  -0.7943912   0.5936615  -0.95093083
  0.42198184  0.3187801  -0.67543685  1.2514      0.4488101  -0.33321595
 -0.05701217  0.17710468 -0.01406074 -0.15161952  0.32399487 -0.33194196
  2.0119007  -0.01484369  1.2053454  -0.60642284 -0.72426784  0.35327262
  0.99831736  0.24284959  1.5505714  -0.7428082   0.2945427   0.3862003
  0.14455146  0.06656775 -0.8203294   0.19869684  0.00669846  1.0628872
 -0.15145272  0.72439563 -0.00615951 -0.20146036  1.5844704  -0.19418228
 -0.3393373   1.416231   -0.5867141   0.64117    -2.2089026  -0.09851282
 -0.07923619  0.15681407 -0.0487804  -0.9305826   0.25843975  0.47882628
  0.16907157 -0.01879288  0.4738453   0.07831703 -2.3355749   0.54426336
  0.3435585   1.2419007  -0.30741316  2.0879674  -0.8793704   0.53074706
  1.0035136  -0.19922236  0.16818067 -0.34699574 -0.17615168  0.48937547
  0.5883392   0.00633737]",-3.1085165252916553,,
265.0,CC1(C)COC(O)(C(Cl)(Cl)Cl)CC1=O,"[-0.23014778 -0.67758536 -0.81067395  2.1376877   0.00364447 -2.9654164
 -0.17173451  0.9248859   0.638955    0.6766717   0.5358736   0.49103963
 -1.2097011  -1.1722466  -2.6653557  -1.0498989  -2.6291957  -0.33627957
  0.24763459 -1.4115819   0.12877926  0.5898435  -1.3818327  -0.37785292
 -0.15450472  0.9782204  -0.39932787 -0.31959242 -0.32658118  0.35418802
 -0.13096765  2.1498532   0.38201892  0.42489317 -0.57733405  0.9350548
 -0.818025   -0.9896685  -0.541625   -1.0543692  -2.1458664  -2.5774183
 -0.7827173   1.4007466   1.8420534   0.31390533 -1.3352439   1.0965565
 -0.2514357  -0.23582709  0.6334278   1.813207    0.6196009  -1.3969424
 -1.0944903  -0.22293931  0.728897    2.3442538  -0.8475079  -0.8148743
  3.5673819  -1.0760698   1.0793853  -0.4317264  -2.6437373  -0.503196
 -0.20062564  0.38801956  1.5579767  -0.6983975   0.07999142 -0.04293451
  1.688704   -0.15384915  1.059262   -0.716483   -0.30732226 -0.09652646
  0.33736834 -1.0557731   0.8945986   0.3219873   0.02037754  0.41950798
 -0.6776391   0.25866282 -0.5649043  -0.07840694 -0.49375767 -0.43119967
  0.43423742  0.50772595  0.06085554 -0.6892983  -0.638201   -0.15128866
 -1.4505186   1.9172163   0.5462105   0.5452933  -0.14053604 -0.35333693
 -0.11476046  0.19726318 -0.11503381  2.021301    2.074685    0.57271683
  0.45589292 -0.1713508  -1.4572508   0.02851396  1.1643167  -1.0278645
  0.5857307  -0.98233235 -0.20300019 -2.424284   -0.9580648   0.1714686
  0.179255    0.3953187  -0.29825273 -0.7865379  -0.16380067  0.9086883
 -0.20490128  0.1147808 ]",-4.496294471088912,,
193.0,CCOC(=O)C1C(=O)CC(C)(O)C(C(=O)OCC)C1c1ccco1,"[-7.61587173e-02  1.33721113e-01 -2.00359941e+00  6.04791164e-01
  2.30476260e-03 -1.73532426e+00  9.67218161e-01  5.14423609e-01
  1.67961240e+00  9.30738449e-02 -3.80111933e-02  1.04895425e+00
 -2.65246534e+00 -7.12954104e-01  1.06011069e+00 -4.76695299e-02
  8.85298789e-01 -2.06093609e-01 -2.01772666e+00 -3.06215405e+00
  2.44103837e+00  7.06521094e-01  1.30568445e-02 -3.11248302e-02
  3.30820233e-01 -6.93356991e-01  1.22619355e+00 -1.57923162e+00
  8.92406940e-01 -8.81308556e-01 -1.97264457e+00  4.34753746e-01
  4.59918618e-01 -9.43018496e-02 -1.21700048e+00 -6.22421563e-01
  1.50763273e+00  6.49332643e-01  1.64483976e+00 -4.30214167e-01
  5.20419955e-01  1.59786791e-02 -6.99675918e-01  3.01797295e+00
 -1.30701065e+00 -1.19836497e+00 -9.33793962e-01  3.27241480e-01
  5.74707508e-01 -2.25706196e+00 -1.38558495e+00  1.87485963e-01
  1.38288021e-01  1.76098847e+00  1.55439222e+00  3.17930609e-01
  7.77606070e-01  2.19146609e+00 -1.06624389e+00 -6.07074618e-01
  8.71881247e-01 -4.49732363e-01 -5.56287825e-01 -1.97354221e+00
  1.46811724e+00 -3.24780464e-01 -1.26330778e-01  3.44225466e-01
  2.22168058e-01 -9.94229555e-01  1.01240270e-01 -1.83106035e-01
  2.87014186e-01  5.58079630e-02  9.46314812e-01  6.50271624e-02
 -7.84561634e-02  2.34112039e-01  1.49823651e-01 -1.86268643e-01
  1.67125583e+00 -6.06936738e-02  1.27512723e-01 -1.28134549e-01
  6.29812777e-01 -5.40124029e-02 -2.60819525e-01 -1.71239659e-01
 -2.90371567e-01  6.49223506e-01 -1.16516721e+00  4.60787147e-01
  3.48727405e-01 -1.46886557e-01  5.37806213e-01 -3.69780123e-01
 -2.15839311e-01  6.75506473e-01 -7.36948922e-02  4.49356139e-01
 -7.14959085e-01  3.92941311e-02  1.35932490e-03  1.67053044e-02
  1.12954117e-02 -3.50917339e-01 -7.66333938e-01  3.66325915e-01
  3.51778567e-02  1.34669185e-01  2.65925318e-01  1.34059265e-02
 -5.95295787e-01 -2.83505797e-01  1.24205470e-01  7.02111959e-01
  4.72169518e-02  6.76746726e-01  3.36213380e-01  2.29385510e-01
  7.61330724e-01 -3.95263508e-02 -1.33597329e-01 -7.81713724e-02
 -3.45729142e-02 -3.05797100e-01  1.17580450e+00  3.13683093e-01]",-4.003618801961564,,
184.0,Cc1ccc(N2CC(O)Cn3c2nc2c3c(=O)[nH]c(=O)n2C)cc1,"[ 2.17643827e-01 -1.03078067e+00  2.89168447e-01  5.69302380e-01
 -2.33203366e-01 -5.20608783e-01  4.78943884e-01 -9.90959644e-01
 -5.64678371e-01 -9.43510607e-03 -1.39672923e+00  1.42225191e-01
 -1.28574407e+00 -9.74311411e-01  1.35758328e+00  1.07660854e+00
 -1.84236741e+00 -3.34660709e-01  1.67515904e-01  1.04422653e+00
 -8.26810122e-01  6.88510776e-01 -1.36965024e+00 -1.31620347e-01
 -3.93236518e-01  4.37314510e-02 -2.44387197e+00  1.57575011e+00
 -9.68137443e-01 -2.00920999e-02  5.42981029e-01  1.53867793e+00
  2.71516442e-02  8.06177929e-02  6.20593727e-01  2.51825780e-01
  1.63724470e+00  1.46411014e+00 -7.14196622e-01  1.37447357e-01
 -4.42939609e-01 -1.34190416e+00  6.69462025e-01 -7.05319583e-01
  1.35832465e+00 -1.17311072e+00 -1.09273291e+00  1.81168199e+00
 -8.35417271e-01 -1.16689467e+00  1.59616351e-01 -9.67709303e-01
 -3.83755982e-01 -1.58489478e+00 -2.14319968e+00 -3.08145374e-01
 -1.35685325e-01 -9.19129848e-02  3.79964709e-01 -8.52239609e-01
  1.64491832e+00  3.96241665e-01  1.35481906e+00  1.01303995e-01
  6.15887523e-01 -1.28537863e-02 -6.46028370e-02  6.60957634e-01
  1.04213215e-01 -8.72404993e-01  1.20088458e-03  7.78551847e-02
 -1.51140034e-01 -1.91599876e-01  2.08931863e-02  2.74285048e-01
 -7.31063783e-02 -2.03651667e-01 -1.02765173e-01 -1.41509533e+00
  1.93429029e+00  3.42301726e-01  2.04000846e-01 -1.14520982e-01
 -1.01032197e+00 -8.48900899e-02  4.10394907e-01 -4.11085695e-01
 -1.14569679e-01 -1.68413773e-01 -7.04698741e-01  8.65752578e-01
  4.57060784e-01 -5.52146882e-02 -1.50274968e+00 -5.35125256e-01
 -4.34472620e-01  3.68154049e-01  1.02213752e+00  3.62484038e-01
 -1.53071254e-01  1.23012014e-01  2.37598419e-01 -1.88521206e-01
  2.40474567e-02  5.15727460e-01 -1.36788225e+00  8.89509916e-01
 -3.21185470e-01 -1.99644089e-01  2.00492144e-02  2.25597560e-01
  4.01282072e-01  4.06143963e-01  3.91537607e-01  2.81271338e-02
  9.94495273e-01  3.64510924e-01  5.96380889e-01 -3.49467993e-01
  7.95603573e-01  2.57826984e-01 -3.75985503e-01 -5.73643506e-01
 -7.17010498e-02  2.41676122e-02 -7.60155082e-01  4.93444681e-01]",-3.90368440271685,,
,,"[-0.5923175  -0.7365753   1.3615491  -0.21772513  0.15195447 -1.0398787
  0.12193392  1.7376062   1.0706326  -0.8132326  -1.128557    0.45635897
 -1.6656631  -2.0090237   0.21180189 -0.9123091  -1.3192774  -0.21096075
 -1.73583    -2.3883595   0.4176397   1.2039939  -0.17103356  0.34339046
  0.06158674  0.8443936   0.46269855 -0.77086663  2.1535108  -0.20360714
  0.5416831   1.4247915  -0.6979305   0.63873124 -1.9335406  -0.14396176
  1.4370298  -0.49486974  1.5237799   0.65748847  0.67318213 -1.806973
 -0.4567451   0.16457318  2.477354   -2.2731178  -1.4975038   1.7429254
 -0.5296255   0.09031904  0.386505   -0.23670293 -1.6943852  -0.68873054
 -0.816857    0.10305262  0.19353479 -1.4015487   2.1609404  -1.0117313
  0.84861624  1.0174857   0.1883483  -0.48158076  0.9600582  -0.05072735
  0.08962708 -0.5561577   0.42673433 -0.47510457 -0.0159426   0.09674744
  0.07901894  0.29693708 -0.46051437  0.2976144  -0.10613878  1.0021647
 -0.41726917 -0.84435886  1.4754956  -0.5177617  -0.0606225  -0.04258724
 -0.87418723  0.26283672  0.5395961  -0.22563276 -0.14659867  0.52471507
 -0.2570941   0.49324077  0.02837839 -0.13468468 -0.07854889 -0.17523852
 -0.18095073  0.20740005  0.8843981   0.27034742  0.54011756 -0.06625852
  0.01966369  0.05471466  0.03936794  0.46450788  0.09296699  1.9554919
 -0.07481363  0.03250982  0.05314055  0.18551278  1.1256806   1.8341688
  0.09715017 -0.06214786  0.4842656   0.33536786  0.41259724 -0.795229
  0.3182905   0.17955439 -0.22549443 -0.5480469   0.14085904  0.6531735
 -0.7405095   0.27073625]",,495.0,
